"filename", "language", "XML", "ASP.NET Razor", "C#", "JSON", "CSS", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Logout.cshtml.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Order.cshtml", "ASP.NET Razor", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Order.cshtml.cs", "C#", 0, 0, 62, 0, 0, 0, 0, 0, 0, 2, 64
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\OrderCompleted.cshtml", "ASP.NET Razor", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\OrderCompleted.cshtml.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Orders.cshtml", "ASP.NET Razor", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Orders.cshtml.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\OrdersInProgress.cshtml", "ASP.NET Razor", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 40
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\OrdersInProgress.cshtml.cs", "C#", 0, 0, 37, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\PasswordChangedSuccessfully.cshtml", "ASP.NET Razor", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\PasswordChangedSuccessfully.cshtml.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Privacy.cshtml", "ASP.NET Razor", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Privacy.cshtml.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Case.cshtml", "ASP.NET Razor", 0, 178, 0, 0, 0, 0, 0, 0, 0, 9, 187
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Case.cshtml.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 2, 15, 49
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\DesktopComputer.cshtml", "ASP.NET Razor", 0, 275, 0, 0, 0, 0, 0, 0, 0, 9, 284
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\DesktopComputer.cshtml.cs", "C#", 0, 0, 45, 0, 0, 0, 0, 0, 2, 6, 53
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\DiskDrive.cshtml", "ASP.NET Razor", 0, 219, 0, 0, 0, 0, 0, 0, 0, 12, 231
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\DiskDrive.cshtml.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 2, 7, 41
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\GraphicCard.cshtml", "ASP.NET Razor", 0, 267, 0, 0, 0, 0, 0, 0, 0, 10, 277
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\GraphicCard.cshtml.cs", "C#", 0, 0, 44, 0, 0, 0, 0, 0, 2, 5, 51
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Keyboard.cshtml", "ASP.NET Razor", 0, 211, 0, 0, 0, 0, 0, 0, 0, 16, 227
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Keyboard.cshtml.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 2, 7, 41
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Laptop.cshtml", "ASP.NET Razor", 0, 267, 0, 0, 0, 0, 0, 0, 0, 11, 278
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Laptop.cshtml.cs", "C#", 0, 0, 44, 0, 0, 0, 0, 0, 2, 5, 51
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\List.cshtml", "ASP.NET Razor", 0, 177, 0, 0, 0, 0, 0, 0, 0, 18, 195
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\List.cshtml.cs", "C#", 0, 0, 123, 0, 0, 0, 0, 0, 0, 28, 151
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Monitor.cshtml", "ASP.NET Razor", 0, 203, 0, 0, 0, 0, 0, 0, 0, 23, 226
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Monitor.cshtml.cs", "C#", 0, 0, 34, 0, 0, 0, 0, 0, 1, 7, 42
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\MotherBoard.cshtml", "ASP.NET Razor", 0, 250, 0, 0, 0, 0, 0, 0, 0, 10, 260
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\MotherBoard.cshtml.cs", "C#", 0, 0, 41, 0, 0, 0, 0, 0, 2, 4, 47
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Mouse.cshtml", "ASP.NET Razor", 0, 226, 0, 0, 0, 0, 0, 0, 0, 11, 237
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Mouse.cshtml.cs", "C#", 0, 0, 33, 0, 0, 0, 0, 0, 2, 4, 39
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\PowerSupply.cshtml", "ASP.NET Razor", 0, 227, 0, 0, 0, 0, 0, 0, 0, 10, 237
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\PowerSupply.cshtml.cs", "C#", 0, 0, 35, 0, 0, 0, 0, 0, 2, 4, 41
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Printer.cshtml", "ASP.NET Razor", 0, 234, 0, 0, 0, 0, 0, 0, 0, 11, 245
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Printer.cshtml.cs", "C#", 0, 0, 37, 0, 0, 0, 0, 0, 2, 6, 45
